dataset,model,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_summary,mmd_summary,Discrete_Cat_Mean_KL_summary,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_summary,Categorical_NMI_summary,fit_time_summary,tstr_f1_real_summary,tstr_f1_synth_summary,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_summary
Breast cancer,csbm,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.0682 ± 0.0456,0.0224 ± 0.0198,0.0000 ± 0.0000,0.0733 ± 0.0507,0.9863 ± 0.0898,11.5314 ± 1.1626,0.6157 ± 0.0735,0.4086 ± 0.0092,32.8594 ± 8.2273,0.2071 ± 0.0703
Car Evaluation,csbm,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.0815 ± 0.0066,nan ± nan,nan ± nan,0.0815 ± 0.0066,0.3704 ± 0.0207,40.5125 ± 1.2123,0.9379 ± 0.0257,0.2133 ± 0.0059,77.2522 ± 0.3663,0.7246 ± 0.0210
Lymphography,csbm,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.2091 ± 0.0907,0.4122 ± 0.4415,0.9048 ± 0.2546,0.1710 ± 0.0598,2.0815 ± 0.2475,7.8600 ± 0.9843,0.7456 ± 0.1171,0.3544 ± 0.0598,52.2541 ± 6.6514,0.3912 ± 0.0939
Mushroom,csbm,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.0038 ± 0.0005,nan ± nan,nan ± nan,0.0038 ± 0.0005,4.5408 ± 0.0365,58.1159 ± 4.1633,1.0000 ± 0.0000,0.4275 ± 0.0411,57.2456 ± 4.1136,0.5725 ± 0.0411
Student Perf,csbm,nan ± nan,nan ± nan,nan ± nan,nan ± nan,0.0334 ± 0.0090,0.0571 ± 0.0199,3.7453 ± 0.2312,0.0125 ± 0.0025,0.4672 ± 0.0211,7.6725 ± 0.6767,0.3141 ± 0.0546,0.0407 ± 0.0176,86.7642 ± 5.9147,0.2733 ± 0.0552
