dataset,model,Continuous_Mean_WD_mean,Continuous_Mean_WD_std,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_mean,Continuous_Mean_KL_50bins_std,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_mean,Continuous_Corr_Pearson_std,Continuous_Corr_Pearson_summary,mmd_mean,mmd_std,mmd_summary,Discrete_Cat_Mean_KL_mean,Discrete_Cat_Mean_KL_std,Discrete_Cat_Mean_KL_summary,Discrete_Mean_KL_mean,Discrete_Mean_KL_std,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_mean,Discrete_Corr_Spearman_std,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_mean,Categorical_Mean_KL_std,Categorical_Mean_KL_summary,Categorical_NMI_mean,Categorical_NMI_std,Categorical_NMI_summary,fit_time_mean,fit_time_std,fit_time_summary,tstr_f1_real_mean,tstr_f1_real_std,tstr_f1_real_summary,tstr_f1_synth_mean,tstr_f1_synth_std,tstr_f1_synth_summary,tstr_f1_deviation_%_mean,tstr_f1_deviation_%_std,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_mean,tstr_f1_diff_raw_std,tstr_f1_diff_raw_summary
Breast cancer,csbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.06818148867185582,0.04562714738569789,0.0682 ± 0.0456,0.02244878268832854,0.019769703161773105,0.0224 ± 0.0198,0.0,0.0,0.0000 ± 0.0000,0.07326290044780333,0.05069276988960312,0.0733 ± 0.0507,0.9863490435139612,0.08981866897892846,0.9863 ± 0.0898,11.531381368637085,1.1625660539575706,11.5314 ± 1.1626,0.6157024036660215,0.07352796635489633,0.6157 ± 0.0735,0.40856893791140364,0.00920328988352907,0.4086 ± 0.0092,32.85939362147338,8.227317688976582,32.8594 ± 8.2273,0.20713346575461772,0.07034169736049314,0.2071 ± 0.0703
Car Evaluation,csbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.08146385024759994,0.006589638835574253,0.0815 ± 0.0066,,,nan ± nan,,,nan ± nan,0.08146385024759994,0.006589638835574253,0.0815 ± 0.0066,0.3704243993565143,0.020728550014512407,0.3704 ± 0.0207,40.512539100646975,1.2123012686060475,40.5125 ± 1.2123,0.9379327520020875,0.025670773033068434,0.9379 ± 0.0257,0.21333825936589784,0.005886334025769029,0.2133 ± 0.0059,77.25220460408765,0.3662542932903261,77.2522 ± 0.3663,0.7245944926361896,0.0210116054643071,0.7246 ± 0.0210
Lymphography,csbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.20909425304635318,0.0907081106723281,0.2091 ± 0.0907,0.41218507853755604,0.4415307210057264,0.4122 ± 0.4415,0.9047985829942062,0.2546476342931224,0.9048 ± 0.2546,0.17101472326675263,0.05976655337732139,0.1710 ± 0.0598,2.0815338004708996,0.24749162366627164,2.0815 ± 0.2475,7.859960651397705,0.9843458097411144,7.8600 ± 0.9843,0.7456270693401423,0.11709059382017087,0.7456 ± 0.1171,0.35442332627931006,0.05977718637900474,0.3544 ± 0.0598,52.25412922387634,6.651398880280076,52.2541 ± 6.6514,0.3912037430608323,0.09394777058175603,0.3912 ± 0.0939
Mushroom,csbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.0037544297499984996,0.0004512266873563211,0.0038 ± 0.0005,,,nan ± nan,,,nan ± nan,0.0037544297499984996,0.0004512266873563211,0.0038 ± 0.0005,4.540819331901101,0.03645482408223296,4.5408 ± 0.0365,58.11591181755066,4.163338948231916,58.1159 ± 4.1633,1.0,0.0,1.0000 ± 0.0000,0.42754394713348043,0.04113639038899626,0.4275 ± 0.0411,57.24560528665195,4.113639038899624,57.2456 ± 4.1136,0.5724560528665193,0.04113639038899624,0.5725 ± 0.0411
Student Perf,csbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.033415499937827955,0.009019466837762115,0.0334 ± 0.0090,0.0571454359001324,0.019917301747510042,0.0571 ± 0.0199,3.745251010434832,0.23116978633906807,3.7453 ± 0.2312,0.01247732114755934,0.0025057766302646867,0.0125 ± 0.0025,0.4671620250276929,0.021067849755931553,0.4672 ± 0.0211,7.672537899017334,0.6766759495224266,7.6725 ± 0.6767,0.3140528517955655,0.054605429374661264,0.3141 ± 0.0546,0.04071904766424565,0.017554790768739142,0.0407 ± 0.0176,86.7642241084581,5.914708038535352,86.7642 ± 5.9147,0.2733338041313199,0.055215717730900164,0.2733 ± 0.0552
