dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold
Student Perf,csbm,,,,,0.034738985627762564,0.06326665836911545,3.4943682779774545,0.009567509679510026,0.4823565390213654,8.027974605560303,0.3775968033016905,0.058734402852049915,84.4452065434668,0.3188624004496406,0
Student Perf,csbm,,,,,0.04524701117526683,0.08007197306887445,3.5656898053909734,0.014519103622083624,0.4704861861301569,7.760517597198486,0.2685905113284781,0.025300442757748263,90.580291674263,0.24329006857072985,1
Student Perf,csbm,,,,,0.023842127715724668,0.033342670751970144,3.7052534940279753,0.015459295624919841,0.4766525918498042,8.057355165481567,0.2479062646592934,0.05098599325467791,79.43335827969098,0.1969202714046155,2
Student Perf,csbm,,,,,0.038166987721583,0.06941208826579956,3.924275089064346,0.010597781359038974,0.430231826695332,8.035085678100586,0.3260051589346098,0.049815380697733634,84.71945018890771,0.2761897782368762,3
Student Perf,csbm,,,,,0.02508238744880295,0.039633789044902626,4.03666838571341,0.012242915452244416,0.476082981441806,6.4817564487457275,0.35016552075375607,0.01875901875901876,94.64281385596199,0.3314065019947373,4
Student Perf,csbm,,,,,0.033415499937828004,0.05714543590013245,3.745251010434832,0.012477321147559377,0.4671620250276929,7.672537899017334,0.3140528517955656,0.040719047664245694,86.7642241084581,0.2733338041313199,mean
Lymphography,csbm,,,,,0.14711114151929575,0.12528888261596274,0.8252245908341096,0.15120281506367067,1.919813030437509,7.593358755111694,0.6933333333333334,0.3839285714285714,44.625686813186825,0.30940476190476196,0
Lymphography,csbm,,,,,0.15631793612091846,0.12576403188265753,0.5220726193691652,0.16204679316559237,1.7237910924376982,7.739258289337158,0.7526881720430108,0.3839285714285714,48.99234693877552,0.36875960061443935,1
Lymphography,csbm,,,,,0.3594976834532582,1.1502768778258636,0.9909918629997964,0.21122658450839465,2.2677805060677647,9.552225112915039,0.5934065934065934,0.24963924963924966,57.931163486719036,0.34376734376734375,2
Lymphography,csbm,,,,,0.23018343496273078,0.1608359173208407,0.9736607092905262,0.2431860945205852,2.229833466713747,7.013984441757202,0.7758284600389863,0.3935091277890467,49.27884860407514,0.38231933224993964,3
Lymphography,csbm,,,,,0.15236106917556272,0.49875968304245566,1.212043132477434,0.0874113290755203,2.26645090669778,7.400976657867432,0.9128787878787878,0.3611111111111111,60.44260027662517,0.5517676767676767,4
Lymphography,csbm,,,,,0.20909425304635318,0.41218507853755604,0.9047985829942062,0.17101472326675266,2.0815338004708996,7.859960651397705,0.7456270693401423,0.35442332627931006,52.25412922387634,0.3912037430608323,mean
Breast cancer,csbm,,,,,0.14638114847792988,0.01411303916246267,0.0,0.16107760506853736,0.9944766077513612,10.192623615264893,0.6527777777777778,0.4155844155844156,36.3360044211108,0.23719336219336218,0
Breast cancer,csbm,,,,,0.033891429296375085,0.0049762046694931325,0.0,0.037104232032695306,1.0564517265046938,10.979412317276001,0.6787800129785853,0.4,41.07074569789674,0.27878001297858523,1
Breast cancer,csbm,,,,,0.03820107014697545,0.006490456812748551,0.0,0.04172447162855622,0.9358267618016728,12.830551385879517,0.656005685856432,0.41333333333333333,36.99241603466955,0.2426723525230987,2
Breast cancer,csbm,,,,,0.06571771982484194,0.03777807783584377,0.0,0.06882212449028617,0.8621484180800528,10.976723194122314,0.5943810359964882,0.4166666666666667,29.899064500246187,0.1777143693298215,3
Breast cancer,csbm,,,,,0.05671607561315707,0.04888613496109488,0.0,0.05758606901894175,1.0828417034320255,12.6775963306427,0.4965675057208238,0.3972602739726027,19.998737453443603,0.09930723174822109,4
Breast cancer,csbm,,,,,0.06818148867185589,0.0224487826883286,0.0,0.07326290044780336,0.9863490435139612,11.531381368637085,0.6157024036660215,0.40856893791140364,32.85939362147338,0.20713346575461772,mean
Car Evaluation,csbm,,,,,0.07792937348171591,,,0.07792937348171591,0.40126256732096915,41.07386302947998,0.9549782329486347,0.21391429947038998,77.60008635904732,0.7410639334782447,0
Car Evaluation,csbm,,,,,0.08845229803512958,,,0.08845229803512958,0.3752780650326016,39.96736478805542,0.9649670737998974,0.22052785923753665,77.14659233199215,0.7444392145623608,1
Car Evaluation,csbm,,,,,0.07283157859952641,,,0.07283157859952641,0.35198773798292743,41.38714814186096,0.9485964334504293,0.2158539543910723,77.2449118740702,0.7327424790593571,2
Car Evaluation,csbm,,,,,0.08754863490601276,,,0.08754863490601276,0.3730963597035808,41.499767780303955,0.9094626602608727,0.21189839572192515,76.70070416512277,0.6975642645389476,3
Car Evaluation,csbm,,,,,0.08055736621561538,,,0.08055736621561538,0.35049726674249265,38.634551763534546,0.9116593595506032,0.2044967880085653,77.56872829020581,0.7071625715420379,4
Car Evaluation,csbm,,,,,0.08146385024760001,,,0.08146385024760001,0.3704243993565143,40.512539100646975,0.9379327520020875,0.2133382593658979,77.25220460408765,0.7245944926361896,mean
Mushroom,csbm,,,,,0.0032066135070255627,,,0.0032066135070255627,4.535043585940382,65.44196653366089,1.0,0.46791674303553765,53.20832569644624,0.5320832569644623,0
Mushroom,csbm,,,,,0.0035326166709903893,,,0.0035326166709903893,4.485771266935862,55.7153377532959,1.0,0.4240093392831592,57.59906607168408,0.5759906607168408,1
Mushroom,csbm,,,,,0.0036457873692259616,,,0.0036457873692259616,4.561766359322285,55.47221088409424,1.0,0.36131041150202353,63.86895884979764,0.6386895884979764,2
Mushroom,csbm,,,,,0.004009670717519032,,,0.004009670717519032,4.583322200254099,56.58302879333496,1.0,0.4298434379228142,57.01565620771858,0.5701565620771858,3
Mushroom,csbm,,,,,0.004377460485231844,,,0.004377460485231844,4.5381932470528765,57.36701512336731,1.0,0.45463980392386805,54.5360196076132,0.545360196076132,4
Mushroom,csbm,,,,,0.0037544297499985577,,,0.0037544297499985577,4.540819331901101,58.11591181755066,1.0,0.42754394713348054,57.24560528665195,0.5724560528665193,mean
