dataset,model,Continuous_Mean_WD_mean,Continuous_Mean_WD_std,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_mean,Continuous_Mean_KL_50bins_std,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_mean,Continuous_Corr_Pearson_std,Continuous_Corr_Pearson_summary,mmd_mean,mmd_std,mmd_summary,Discrete_Cat_Mean_KL_mean,Discrete_Cat_Mean_KL_std,Discrete_Cat_Mean_KL_summary,Discrete_Mean_KL_mean,Discrete_Mean_KL_std,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_mean,Discrete_Corr_Spearman_std,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_mean,Categorical_Mean_KL_std,Categorical_Mean_KL_summary,Categorical_NMI_mean,Categorical_NMI_std,Categorical_NMI_summary,fit_time_mean,fit_time_std,fit_time_summary,tstr_r2_real_mean,tstr_r2_real_std,tstr_r2_real_summary,tstr_r2_synth_mean,tstr_r2_synth_std,tstr_r2_synth_summary,tstr_r2_deviation_%_mean,tstr_r2_deviation_%_std,tstr_r2_deviation_%_summary,tstr_r2_diff_raw_mean,tstr_r2_diff_raw_std,tstr_r2_diff_raw_summary
bank_loan,msbm,0.20551615162852124,0.008837035557160547,0.2055 ± 0.0088,0.46632081812187376,0.03199431853248072,0.4663 ± 0.0320,0.7518910275001105,0.09015650162659837,0.7519 ± 0.0902,0.01566059643373486,0.002841179997441846,0.0157 ± 0.0028,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,20.2524215221405,0.161695926487058,20.2524 ± 0.1617,0.5386787384016629,0.03721724318240867,0.5387 ± 0.0372,0.26543230505016907,0.03816324372171184,0.2654 ± 0.0382,50.36955574516786,8.81281298519613,50.3696 ± 8.8128,0.2732464333514938,0.0634362087161331,0.2732 ± 0.0634
bank_marketing,msbm,0.21118257089779285,0.010983931771671415,0.2112 ± 0.0110,0.3933468409342572,0.025365017412920833,0.3933 ± 0.0254,0.355401438560657,0.16460749499534705,0.3554 ± 0.1646,0.01191022654296486,0.0008092606711694955,0.0119 ± 0.0008,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,99.3874770641327,0.09949615637832447,99.3875 ± 0.0995,0.7922642418539805,0.010583181207077337,0.7923 ± 0.0106,0.5150482195811479,0.0443369728395143,0.5150 ± 0.0443,35.02457338677742,4.995184668381202,35.0246 ± 4.9952,0.27721602227283254,0.037366071426157645,0.2772 ± 0.0374
california_housing,msbm,0.19711823913831555,0.011660745583180598,0.1971 ± 0.0117,0.3427859395651408,0.05115149794610459,0.3428 ± 0.0512,1.0596414174124305,0.09412327521370832,1.0596 ± 0.0941,0.014050355762858721,0.0009686909081093198,0.0141 ± 0.0010,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,30.975451707839966,0.2829070591941937,30.9755 ± 0.2829,0.851433547653391,0.006652369721972917,0.8514 ± 0.0067,0.47005495773217676,0.015169379423403847,0.4701 ± 0.0152,44.79010753755033,1.8165408402924024,44.7901 ± 1.8165,0.3813785899212141,0.01642519316620598,0.3814 ± 0.0164
covertype,msbm,0.15832863272945819,0.0007681512300648667,0.1583 ± 0.0008,0.09363108798834086,0.02760425205365938,0.0936 ± 0.0276,1.7333110767430076,0.5032167769407538,1.7333 ± 0.5032,0.01232539692896698,0.0005291881957232179,0.0123 ± 0.0005,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,686.934169101715,25.67922972432667,686.9342 ± 25.6792,0.7693383633499365,0.0016887039677258844,0.7693 ± 0.0017,0.43509135470713056,0.025145265624143102,0.4351 ± 0.0251,43.44625052776273,3.25889698214442,43.4463 ± 3.2589,0.3342470086428059,0.025073074419661577,0.3342 ± 0.0251
diabetes,msbm,0.23761925160333597,0.042377855794926984,0.2376 ± 0.0424,1.24595746088544,0.153777542801699,1.2460 ± 0.1538,3.5727875443528463,0.2979965890163278,3.5728 ± 0.2980,0.042788677342498346,0.009819029354824923,0.0428 ± 0.0098,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,7.981901216506958,0.13675479649875696,7.9819 ± 0.1368,0.35938350181230233,0.07589340833229702,0.3594 ± 0.0759,-0.35439407087881025,0.16153197139655673,-0.3544 ± 0.1615,195.71348908413947,25.62461699620193,195.7135 ± 25.6246,0.7137775726911126,0.23257086467875104,0.7138 ± 0.2326
german_credit,msbm,0.22982547612528342,0.023890855476749052,0.2298 ± 0.0239,1.0017192769255319,0.12983177361073428,1.0017 ± 0.1298,0.6178678021611439,0.10236069274918896,0.6179 ± 0.1024,0.026907854586853804,0.010272519967875596,0.0269 ± 0.0103,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,7.999500560760498,0.3585615191075257,7.9995 ± 0.3586,0.28665092645131546,0.07794009949652304,0.2867 ± 0.0779,0.09093634307992843,0.0827267632830807,0.0909 ± 0.0827,67.36999953397995,29.08778746659403,67.3700 ± 29.0878,0.19571458337138697,0.10839482993293532,0.1957 ± 0.1084
king_county_housing,msbm,0.20103307864870748,0.00206929587389256,0.2010 ± 0.0021,0.46454250640793243,0.018255809440269426,0.4645 ± 0.0183,2.5802684417130246,0.04261009818572108,2.5803 ± 0.0426,0.028963571340124162,0.00209788095760061,0.0290 ± 0.0021,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,204.2553090572357,4.643263090510811,204.2553 ± 4.6433,0.8484568948835648,0.019445717378268758,0.8485 ± 0.0194,0.5002075938514536,0.044966956062919526,0.5002 ± 0.0450,41.06051205392947,4.92745708743788,41.0605 ± 4.9275,0.34824930103211116,0.04086098831883966,0.3482 ± 0.0409
online_news_popularity,msbm,0.27762716007973565,0.029329776308940986,0.2776 ± 0.0293,0.8597710708764387,0.04919842803471547,0.8598 ± 0.0492,6.173124067537574,0.45031174721300976,6.1731 ± 0.4503,0.01889768568195998,0.001428919965383136,0.0189 ± 0.0014,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,105.24689273834228,0.9022261208256935,105.2469 ± 0.9022,-0.0384343782812465,0.04663556270354706,-0.0384 ± 0.0466,0.00455174308309266,0.0032636326532088588,0.0046 ± 0.0033,-84.81713926502304,62.38252688946202,-84.8171 ± 62.3825,-0.0429861213643392,0.04862069618669269,-0.0430 ± 0.0486
online_shoppers,msbm,0.2785254214290439,0.003424696071803808,0.2785 ± 0.0034,1.0782212695011755,0.08690170475273791,1.0782 ± 0.0869,1.540387899369653,0.077402977588246,1.5404 ± 0.0774,0.02127405320093046,0.0015612396564980936,0.0213 ± 0.0016,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,36.2158926486969,1.433972007844625,36.2159 ± 1.4340,0.7972863012244711,0.022183227011469655,0.7973 ± 0.0222,0.369763548035305,0.031599728199401114,0.3698 ± 0.0316,53.571888162700986,4.4398125944865185,53.5719 ± 4.4398,0.42752275318916616,0.04252088762530719,0.4275 ± 0.0425
