dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
california_housing,msbm,0.19875873865552204,0.3913075367995822,0.9440807901014157,0.01413356273668176,,,,,,31.06727433204651,0.8484118500783847,0.4716824846267751,44.4040668947285,0.3767293654516096,0
california_housing,msbm,0.21590467011788073,0.28522221511241214,1.0708859912755657,0.015565368387293721,,,,,,31.023866891860962,0.8524124247707012,0.4912924274973979,42.36446897995938,0.36111999727330335,1
california_housing,msbm,0.19509013405724585,0.3858870473810491,1.1431696108510188,0.014043857887455546,,,,,,30.873420238494873,0.8578363278982954,0.47444075654856444,44.69332422526948,0.383395571349731,2
california_housing,msbm,0.19064821501109455,0.29140340993327263,0.9841195803514612,0.012950825339871574,,,,,,31.34250259399414,0.8568833454593043,0.45025610212013545,47.45421246589985,0.4066272433391689,3
california_housing,msbm,0.1851894378498348,0.360109488599388,1.1559511144826908,0.013558164462991296,,,,,,30.570194482803345,0.8416237900602688,0.46260301786801117,45.034465121894414,0.3790207721922576,4
california_housing,msbm,0.19711823913831558,0.3427859395651408,1.0596414174124305,0.01405035576285878,,,,,,30.975451707839966,0.851433547653391,0.47005495773217676,44.79010753755033,0.3813785899212141,mean
diabetes,msbm,0.3091945614934349,1.2976956739518801,3.494788392224212,0.0539256423854117,,,,,,7.9565839767456055,0.37580104117381286,-0.31175916136954207,182.95856775589652,0.6875602025433549,0
diabetes,msbm,0.2132887690060859,1.384131693350161,3.2291197256035806,0.028825647982390568,,,,,,7.950026273727417,0.34903109661444753,-0.39307939861153596,212.62016548793235,0.7421104952259835,1
diabetes,msbm,0.22551550589445196,1.236649801523269,4.045077269819208,0.048644312856115146,,,,,,7.939279794692993,0.478537475262659,-0.6126614722389154,228.02789831718795,1.0911989475015744,2
diabetes,msbm,0.20127925676770914,0.9876885643611002,3.489694186897635,0.03754712689257461,,,,,,7.8496644496917725,0.27909701421757893,-0.2589778276275845,192.7913286186896,0.5380748418451634,3
diabetes,msbm,0.23881816485499802,1.3236215712407902,3.605258147219595,0.04500065659599983,,,,,,8.213951587677002,0.3144508817930136,-0.19549249454647355,162.16948524099098,0.5099433763394872,4
diabetes,msbm,0.23761925160333597,1.2459574608854402,3.5727875443528463,0.042788677342498374,,,,,,7.981901216506958,0.35938350181230233,-0.3543940708788103,195.71348908413947,0.7137775726911126,mean
online_news_popularity,msbm,0.2653612734353866,0.9005453391492327,6.417978755653692,0.01898938561724972,,,,,,106.59988164901733,-0.052464614745851845,0.009616097045811012,-118.32872897741294,-0.06208071179166286,0
online_news_popularity,msbm,0.3299068654086454,0.7792890872957369,5.37157148718285,0.021149400611569225,,,,,,105.34542942047119,-0.018615981504674695,0.0022788587718394204,-112.24141080752132,-0.020894840276514115,1
