dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Cat_Mean_KL,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold
Student Perf,msbm,0.44183713596247254,1.9023679272926937,0.0,0.08167867272318607,0.0486039758802911,0.08731365373199204,3.524331759161403,0.014448377775849078,0.5246003801723323,2.8601133823394775,0.38092948717948716,0.0707920961026551,81.41595794360252,0.310137391076832,0
Student Perf,msbm,0.3036833402843792,1.7064790430381342,0.0,0.03614928705800491,0.0406152773894332,0.06754154340370523,3.6471711473164112,0.016856807376840227,0.48641314145282777,3.548088312149048,0.2277469683525584,0.05850890667529038,74.3096880285506,0.16923806167726801,1
Student Perf,msbm,0.40961956958485474,1.899234950453351,0.0,0.052110938494510206,0.03906377320964636,0.0633617038558806,3.6981173993004552,0.01762442263943968,0.5116343627253589,2.563922643661499,0.31106141268110477,0.029827315541601254,90.41111680021214,0.28123409713950354,2
Student Perf,msbm,0.36653879630897224,1.5232734768403668,0.0,0.049897479092102626,0.04212249968054972,0.07480560365765608,3.9346257793606627,0.013284466759573524,0.4473722020799343,2.2192466259002686,0.34997174484501675,0.042281622281622286,87.9185611683176,0.30769012256339445,3
Student Perf,msbm,0.3784784741937805,1.4044309391071914,0.0,0.05247937226579613,0.0440269519453485,0.06873593871867169,4.032328007420829,0.022224904792416296,0.5044897367668254,2.2446300983428955,0.3843016563328372,0.07607079392393742,80.20544729111087,0.30823086240889974,4
Student Perf,msbm,0.38003146326689186,1.6871572673463473,0.0,0.05446314992671999,0.042886495621053775,0.07235168867358113,3.7673148185119523,0.016887795868823764,0.49490196463945574,2.6872002124786376,0.33080225387820084,0.05549614690502129,82.85215424635875,0.2753061069731796,mean
Lymphography,msbm,,,,,0.15202641894286079,0.14686121192581383,0.9959423884489104,0.1529948952585571,1.9953049435037515,1.5742378234863281,0.6933333333333334,0.40620782726045884,41.41233260666459,0.2871255060728745,0
Lymphography,msbm,,,,,0.15043763905005025,0.20190908138909583,0.6017962943588333,0.1407867436114792,1.8385975584693954,1.580902338027954,0.7526881720430108,0.20833333333333334,72.32142857142857,0.5443548387096774,1
Lymphography,msbm,,,,,0.3683668033116509,1.4601910384618002,1.0338136429896274,0.1636497592209979,2.331509556625853,1.5436406135559082,0.5934065934065934,0.4150702426564496,30.052977626413124,0.1783363507501438,2
Lymphography,msbm,,,,,0.1247780137556012,0.2009059542752681,1.076574627786373,0.11050402490816368,2.360575097832557,1.5719406604766846,0.7758284600389863,0.5436507936507937,29.926417803302215,0.2321776663881926,3
Lymphography,msbm,,,,,0.18959304614364494,0.4516369994071792,1.334840156252169,0.1404598049067323,2.319306689694667,1.6585474014282227,0.9128787878787878,0.30303030303030304,66.80497925311204,0.6098484848484849,4
Lymphography,msbm,,,,,0.1970403842407616,0.49230085709183147,1.0085934219671828,0.14167904558118602,2.1690587692252445,1.5858537673950195,0.7456270693401423,0.3752584999862677,48.10362717218411,0.37036856935387463,mean
Breast cancer,msbm,,,,,0.24923286233380737,0.040091829882755316,0.0,0.2724707548283687,0.991685626681815,2.0152087211608887,0.6527777777777778,0.3062200956937799,53.08968746818691,0.3465576820839979,0
Breast cancer,msbm,,,,,0.17231708928789916,0.13394223301715452,0.0,0.17658096220687075,1.085209528688873,1.9132661819458008,0.6787800129785853,0.3849097867687261,43.293883230343496,0.29387022620985914,1
Breast cancer,msbm,,,,,0.17620257441594253,0.06864071782975925,0.0,0.18815389181440734,0.9663893643146416,2.0789785385131836,0.656005685856432,0.4652777777777778,29.074124232574928,0.19072790807865425,2
Breast cancer,msbm,,,,,0.17627322092850412,0.19101507750857288,0.0,0.17463523686405202,0.898047586191988,1.7978887557983398,0.5943810359964882,0.42334096109839814,28.77616621992977,0.17104007489809003,3
Breast cancer,msbm,,,,,0.18652085683784797,0.15873396848298946,0.0,0.18960828887727665,1.1056752150343907,1.820939302444458,0.4965675057208238,0.5086848635235732,-2.440223668111288,-0.012117357802749418,4
Breast cancer,msbm,,,,,0.19210932076080023,0.11848476534424628,0.0,0.20028982691819505,1.0094014641823417,1.9252562999725342,0.6157024036660215,0.4176866969724511,30.358727496584766,0.19801570669357038,mean
Car Evaluation,msbm,,,,,0.004939104056474136,,,0.004939104056474136,0.20772300503483077,12.012839555740356,0.9549782329486347,0.43704481792717087,54.23510161297277,0.5179334150214638,0
Car Evaluation,msbm,,,,,0.006502758534598076,,,0.006502758534598076,0.15419155874692309,9.943868398666382,0.9649670737998974,0.6234947739426349,35.386937972152275,0.3414722998572626,1
Car Evaluation,msbm,,,,,0.004988354139032877,,,0.004988354139032877,0.11989844551282337,13.022082805633545,0.9485964334504293,0.46633847368864334,50.83910741764214,0.482257959761786,2
Car Evaluation,msbm,,,,,0.005463416086638848,,,0.005463416086638848,0.11477252910493038,11.421916246414185,0.9094626602608727,0.4739267392528689,47.889368089402765,0.43553592100800387,3
Car Evaluation,msbm,,,,,0.007572622897965266,,,0.007572622897965266,0.10855864961342775,11.300450086593628,0.9116593595506032,0.4098537005163511,55.04310944403775,0.5018056590342521,4
Car Evaluation,msbm,,,,,0.00589325114294184,,,0.00589325114294184,0.14102883760258705,11.540231418609618,0.9379327520020875,0.4821317010655338,48.67872490724154,0.45580105093655365,mean
Mushroom,msbm,,,,,0.030197582248585233,,,0.030197582248585233,4.531855491957534,10.565375089645386,1.0,0.3982603627399844,60.17396372600157,0.6017396372600157,0
Mushroom,msbm,,,,,0.041349380121132075,,,0.041349380121132075,4.4788396554762855,9.234424352645874,1.0,0.375263017700175,62.4736982299825,0.624736982299825,1
Mushroom,msbm,,,,,0.032767501510150364,,,0.032767501510150364,4.55873651047234,9.403950929641724,1.0,0.39823324292909723,60.176675707090276,0.6017667570709028,2
Mushroom,msbm,,,,,0.02031168200470956,,,0.02031168200470956,4.567503244242575,8.932584047317505,1.0,0.37589005866752395,62.4109941332476,0.624109941332476,3
Mushroom,msbm,,,,,0.03402667250402644,,,0.03402667250402644,4.527633464788024,8.975443840026855,1.0,0.38512630153616284,61.48736984638372,0.6148736984638372,4
Mushroom,msbm,,,,,0.03173056367772074,,,0.03173056367772074,4.532913673387351,9.422355651855469,1.0,0.38655459671458864,61.34454032854113,0.6134454032854114,mean
